scope,block_ids,sample_count,comparison_id,from_model,to_model,metric,direction,from_value,to_value,improvement,ci_2_5_percent,ci_97_5_percent,probability_improvement,positive_replicates,tied_replicates,bootstrap_replicates
am,am,15776,baseline_to_t20,baseline_q1,edge_t20_eta1e4,aggregate_relative_regret,lower_is_better,0.0921065200275257,0.06724488372173816,0.02486163630578754,0.02386585633235101,0.025825106053748,1.0,2000,0,2000
am,am,15776,baseline_to_t20,baseline_q1,edge_t20_eta1e4,mean_edge_f1,higher_is_better,0.5996640174464201,0.6625458434484683,0.06288182600204828,0.058111809200397095,0.06758180897228962,1.0,2000,0,2000
am,am,15776,baseline_to_t20,baseline_q1,edge_t20_eta1e4,exact_match_rate,higher_is_better,0.3538919878296146,0.356237322515213,0.002345334685598388,-0.003676470588235281,0.008303752535496978,0.772,1544,8,2000
am,am,15776,baseline_to_t100,baseline_q1,edge_t100_eta3e4,aggregate_relative_regret,lower_is_better,0.0921065200275257,0.06307109742951983,0.029035422598005872,0.027772421113767348,0.030301475483428555,1.0,2000,0,2000
am,am,15776,baseline_to_t100,baseline_q1,edge_t100_eta3e4,mean_edge_f1,higher_is_better,0.5996640174464201,0.6862700492407975,0.08660603179437742,0.08138166163663726,0.09170896446352612,1.0,2000,0,2000
am,am,15776,baseline_to_t100,baseline_q1,edge_t100_eta3e4,exact_match_rate,higher_is_better,0.3538919878296146,0.3763311359026369,0.022439148073022275,0.015656693711967595,0.028651115618661294,1.0,2000,0,2000
am,am,15776,t20_to_t100,edge_t20_eta1e4,edge_t100_eta3e4,aggregate_relative_regret,lower_is_better,0.06724488372173816,0.06307109742951983,0.004173786292218332,0.0036517472717048248,0.004722841769159585,1.0,2000,0,2000
am,am,15776,t20_to_t100,edge_t20_eta1e4,edge_t100_eta3e4,mean_edge_f1,higher_is_better,0.6625458434484683,0.6862700492407975,0.023724205792329145,0.02005405904372424,0.02696524124146094,1.0,2000,0,2000
am,am,15776,t20_to_t100,edge_t20_eta1e4,edge_t100_eta3e4,exact_match_rate,higher_is_better,0.356237322515213,0.3763311359026369,0.020093813387423887,0.01445233265720086,0.025418356997971625,1.0,2000,0,2000
pm,pm,15886,baseline_to_t20,baseline_q1,edge_t20_eta1e4,aggregate_relative_regret,lower_is_better,0.09285386701792377,0.06767404051851092,0.025179826499412847,0.024179671979463562,0.026259246694662404,1.0,2000,0,2000
