rank,run_id,eta0,lambda,validation_relative_regret,relative_improvement_vs_baseline,validation_edge_f1,validation_exact_match,best_epoch,q_min,q_max,q_at_min,q_at_max,peak_rss_kib
1,grid_e1m4_l1e5,1e-4,1e5,0.07222536,0.23619292745143305,0.643864,0.329939,18,0.259662,1.401809,0,0,63056
2,grid_e1m4_l1e7,1e-4,1e7,0.07245321,0.23378333833370224,0.642009,0.327916,18,0.262063,1.388897,0,0,63020
3,grid_e3m5_l1e5,3e-5,1e5,0.07548939,0.2016747305326403,0.63621,0.334809,19,0.446054,1.288533,0,0,63076
4,grid_e3m5_l1e7,3e-5,1e7,0.07567995,0.19965949549961515,0.633288,0.331584,19,0.452786,1.283913,0,0,63052
5,grid_e1m5_l1e5,1e-5,1e5,0.08154423,0.13764279472574414,0.615488,0.328738,19,0.673264,1.209832,0,0,63012
6,grid_e1m5_l1e7,1e-5,1e7,0.08157683,0.13729803894238657,0.617542,0.331457,19,0.674703,1.208574,0,0,63008
7,grid_e3m5_l1e9,3e-5,1e9,0.08264958,0.12595335285045883,0.606686,0.322287,19,0.737849,1.169856,0,0,62980
8,grid_e1m4_l1e9,1e-4,1e9,0.08378499,0.11394601653199155,0.597975,0.302998,18,0.741927,1.164132,0,0,63080
9,grid_e1m5_l1e9,1e-5,1e9,0.08438831,0.1075657079671053,0.607748,0.327916,19,0.762063,1.166939,0,0,62132
10,grid_e3m6_l1e5,3e-6,1e5,0.08781743,0.07130162969019882,0.597895,0.321718,19,0.855144,1.091277,0,0,62160
11,grid_e3m6_l1e7,3e-6,1e7,0.0878244,0.07122791963467734,0.597891,0.321718,19,0.855352,1.091141,0,0,63020
12,grid_e3m6_l1e9,3e-6,1e9,0.0884779,0.06431694097135898,0.598313,0.32722,19,0.873903,1.079695,0,0,63000
13,grid_e1m6_l1e5,1e-6,1e5,0.09155019,0.03182645797590922,0.589556,0.322413,19,0.943049,1.041038,0,0,63588
14,grid_e1m6_l1e7,1e-6,1e7,0.09155149,0.03181271004589803,0.589366,0.322224,19,0.943081,1.041018,0,0,62996
15,grid_e1m6_l1e9,1e-6,1e9,0.09166793,0.030581318530126356,0.590538,0.32507,19,0.945697,1.039243,0,0,63000
