run_id,phase,scale,seed,eta0,lambda,train_variant,metric_update,epochs,patience
scale_5pct_e1m4_l1e5_s42,scale_curve,5pct,42,1e-4,1e5,scale_5pct_seed42,full,20,5
scale_5pct_e1m4_l1e5_s43,scale_curve,5pct,43,1e-4,1e5,scale_5pct_seed43,full,20,5
scale_5pct_e1m4_l1e5_s44,scale_curve,5pct,44,1e-4,1e5,scale_5pct_seed44,full,20,5
scale_5pct_e1m4_l1e7_s42,scale_curve,5pct,42,1e-4,1e7,scale_5pct_seed42,full,20,5
scale_5pct_e1m4_l1e7_s43,scale_curve,5pct,43,1e-4,1e7,scale_5pct_seed43,full,20,5
scale_5pct_e1m4_l1e7_s44,scale_curve,5pct,44,1e-4,1e7,scale_5pct_seed44,full,20,5
scale_10pct_e1m4_l1e5_s42,scale_curve,10pct,42,1e-4,1e5,scale_10pct_seed42,full,20,5
scale_10pct_e1m4_l1e5_s43,scale_curve,10pct,43,1e-4,1e5,scale_10pct_seed43,full,20,5
scale_10pct_e1m4_l1e5_s44,scale_curve,10pct,44,1e-4,1e5,scale_10pct_seed44,full,20,5
scale_10pct_e1m4_l1e7_s42,scale_curve,10pct,42,1e-4,1e7,scale_10pct_seed42,full,20,5
scale_10pct_e1m4_l1e7_s43,scale_curve,10pct,43,1e-4,1e7,scale_10pct_seed43,full,20,5
scale_10pct_e1m4_l1e7_s44,scale_curve,10pct,44,1e-4,1e7,scale_10pct_seed44,full,20,5
