run_id,phase,scale,seed,eta0,lambda,metric_update,train_variant,status,cached,wall_seconds,train_accepted,validation_accepted,best_best_epoch,best_selection_loss,validation_relative_regret,validation_mean_regret,validation_exact_match,validation_edge_f1,validation_edge_jaccard,best_epoch_train_relative_regret,avg_epoch_ms,avg_train_oracle_ms,avg_customization_ms,avg_changed_pct,avg_update_customization_ms,avg_update_changed_pct,relative_regret_gap,mean_regret_gap,best_peak_rss_kib,best_q_p05,best_q_median,best_q_p95,adam_learning_rate,best_best_q_at_max,best_best_q_at_min,best_best_q_max,best_best_q_min,best_best_regularization,best_best_train_regret,best_epoch_changed_pct,best_epoch_count_residual_l1,best_epoch_current_max_quantization_error,best_epoch_customization_ms,best_epoch_train_oracle_ms,best_q_p25,best_q_p75,best_train_regret_improvement_pct,cache_hit_last_invocation,checkpoint_path,config_metric_update,config_run_test,config_selection_metric,config_solver,epochs,epochs_executed,error,log_path,patience,returncode,solver,train_available,train_cyclic,train_inspected,validation_available,validation_cyclic,validation_edge_precision,validation_edge_recall,validation_inspected,validation_samples
baseline_q1,baseline,1pct,42,1e-5,0,full,scale_1pct_seed42,ok,False,1.3544604369999433,6147,15812,0,0.094559688015,0.09455969,650449.935935,0.336643,0.589902,0.519793,0.08756428,194.763,45.762,0.0,0.0,,,0.0069954100000000075,54727.12985099992,60092,1.0,1.0,1.0,,0,0,1.0,1.0,0.0,595722.806084,0.0,121822,0.0,0.0,45.762,1.0,1.0,0.0,True,/tmp/edge-weight-scale-study/runs/baseline/baseline_q1/model_checkpoint.json,Full,false,RelativeRegret,ProjectedSubgradient,1,1,,/tmp/edge-weight-scale-study/runs/baseline/baseline_q1/model_training.log,1,0,,7857,1710,7857,20000,4188,0.596529,0.590161,20000,15812
scale_full_e1m4_l1e5,full_exploratory,full,42,1e-4,1e5,full,all,ok,False,90.23585151000043,623275,15812,19,0.068119787039,0.06811979,425958.706931,0.348722,0.658107,0.580961,0.06641722,4270.064850000001,4116.90135,11.521899999999999,58.970985,12.128315789473683,62.074721052631574,0.0017025700000000005,12914.144908999966,1482396,0.9529568293844188,1.0,1.0199399672499663,,0,0,1.431332,0.173515,67.856237,413044.562022,0.0,5597988,0.499999,0.0,4213.302,0.9986524929387809,1.0004715741465828,34.174,True,/tmp/edge-weight-scale-study/runs/full_exploratory/scale_full_e1m4_l1e5/model_checkpoint.json,Full,false,RelativeRegret,ProjectedSubgradient,20,20,,/tmp/edge-weight-scale-study/runs/full_exploratory/scale_full_e1m4_l1e5/model_training.log,5,0,,785709,162434,785709,20000,4188,0.672402,0.65211,20000,15812
grid_e1m4_l1e5,grid_1pct,1pct,42,1e-4,1e5,full,scale_1pct_seed42,ok,False,6.227749622999909,6147,15812,18,0.072225358087,0.07222536,455568.609853,0.329939,0.643864,0.565234,0.05750991,250.036,66.76915,13.338,31.06339,14.04,32.69830526315789,0.014715450000000005,99065.83841999999,63056,0.9457017830978464,1.0,1.027262234034396,,0,0,1.401809,0.259662,77.227766,356502.771433,31.1533,61633,0.5,12.164,67.338,1.0,1.0,40.156,True,/tmp/edge-weight-scale-study/runs/grid_1pct/grid_e1m4_l1e5/model_checkpoint.json,Full,false,RelativeRegret,ProjectedSubgradient,20,20,,/tmp/edge-weight-scale-study/runs/grid_1pct/grid_e1m4_l1e5/model_training.log,5,0,,7857,1710,7857,20000,4188,0.653716,0.642253,20000,15812
grid_e1m4_l1e7,grid_1pct,1pct,42,1e-4,1e7,full,scale_1pct_seed42,ok,False,6.276532151000538,6147,15812,18,0.072453207006,0.07245321,458211.282127,0.327916,0.642009,0.563031,0.05795161,253.17145,65.13149999999999,13.221250000000001,36.67907,13.917105263157895,38.609547368421055,0.014501600000000003,97925.77114599996,63020,0.9480618764613934,1.0,1.0260611571877665,,0,0,1.388897,0.262063,7180.857927,360285.510981,38.6621,61906,0.499995,15.388,61.567,1.0,1.0,39.521,True,/tmp/edge-weight-scale-study/runs/grid_1pct/grid_e1m4_l1e7/model_checkpoint.json,Full,false,RelativeRegret,ProjectedSubgradient,20,20,,/tmp/edge-weight-scale-study/runs/grid_1pct/grid_e1m4_l1e7/model_training.log,5,0,,7857,1710,7857,20000,4188,0.653981,0.63856,20000,15812
grid_e1m4_l1e9,grid_1pct,1pct,42,1e-4,1e9,full,scale_1pct_seed42,ok,False,6.2514024649999556,6147,15812,18,0.083784990813,0.08378499,564532.535606,0.302998,0.597975,0.519804,0.07529439,250.8337,64.54525,13.6142,28.283855,14.330736842105262,29.77247894736842,0.008490600000000001,63309.424658,63080,0.9922669655271688,1.0,1.0054909654709607,,0,0,1.164132,0.741927,38711.28921,501223.110948,24.5731,100511,0.499994,12.252,62.569,1.0,1.0,15.863,True,/tmp/edge-weight-scale-study/runs/grid_1pct/grid_e1m4_l1e9/model_checkpoint.json,Full,false,RelativeRegret,ProjectedSubgradient,20,20,,/tmp/edge-weight-scale-study/runs/grid_1pct/grid_e1m4_l1e9/model_training.log,5,0,,7857,1710,7857,20000,4188,0.60697,0.597024,20000,15812
grid_e1m5_l1e5,grid_1pct,1pct,42,1e-5,1e5,full,scale_1pct_seed42,ok,False,6.329065954999351,6147,15812,19,0.081544230103,0.08154423,547180.944536,0.328738,0.615488,0.539318,0.07268211,254.47415,63.4979,13.6457,29.364165000000003,14.363894736842104,30.909647368421055,0.008862120000000001,65393.73565400002,63012,0.9918873464709372,1.0,1.0061774565892656,,0,0,1.209832,0.673264,5.048476,481787.208882,0.0,82286,0.499996,0.0,58.396,1.0,1.0,19.126,True,/tmp/edge-weight-scale-study/runs/grid_1pct/grid_e1m5_l1e5/model_checkpoint.json,Full,false,RelativeRegret,ProjectedSubgradient,20,20,,/tmp/edge-weight-scale-study/runs/grid_1pct/grid_e1m5_l1e5/model_training.log,5,0,,7857,1710,7857,20000,4188,0.628393,0.610164,20000,15812
grid_e1m5_l1e7,grid_1pct,1pct,42,1e-5,1e7,full,scale_1pct_seed42,ok,False,6.361005923999983,6147,15812,19,0.081576832666,0.08157683,547464.286871,0.331457,0.617542,0.541827,0.07272033,256.5805,66.09995,13.777600000000001,29.991215,14.502736842105264,31.5697,0.008856500000000003,65367.79931599996,63008,0.9919140379867891,1.0,1.0061542643971562,,0,0,1.208574,0.674703,500.965434,482096.487555,0.0,80827,0.499999,0.0,62.668,1.0,1.0,19.074,True,/tmp/edge-weight-scale-study/runs/grid_1pct/grid_e1m5_l1e7/model_checkpoint.json,Full,false,RelativeRegret,ProjectedSubgradient,20,20,,/tmp/edge-weight-scale-study/runs/grid_1pct/grid_e1m5_l1e7/model_training.log,5,0,,7857,1710,7857,20000,4188,0.630026,0.612519,20000,15812
grid_e1m5_l1e9,grid_1pct,1pct,42,1e-5,1e9,full,scale_1pct_seed42,ok,False,6.408695510000143,6147,15812,19,0.084388314497,0.08438831,570612.989944,0.327916,0.607748,0.533214,0.07602589,258.43165,67.28790000000001,13.431149999999999,30.431285000000003,14.138052631578947,32.03293157894737,0.008362419999999995,62575.13749600004,62132,0.9946353453269337,1.0,1.0041197176923353,,0,0,1.166939,0.762063,23927.21849,508037.852448,0.0,92757,0.499953,0.0,65.91,1.0,1.0,14.719,True,/tmp/edge-weight-scale-study/runs/grid_1pct/grid_e1m5_l1e9/model_checkpoint.json,Full,false,RelativeRegret,ProjectedSubgradient,20,20,,/tmp/edge-weight-scale-study/runs/grid_1pct/grid_e1m5_l1e9/model_training.log,5,0,,7857,1710,7857,20000,4188,0.619867,0.603068,20000,15812
grid_e1m6_l1e5,grid_1pct,1pct,42,1e-6,1e5,full,scale_1pct_seed42,ok,False,6.40976269300063,6147,15812,19,0.091550189873,0.09155019,627043.531242,0.322413,0.589556,0.51621,0.08426709,258.32815,65.2883,14.0773,25.06701,14.81821052631579,26.38632631578947,0.007283100000000001,56230.719301000005,63588,0.9990578971816111,1.0,1.0008089903892021,,0,0,1.041038,0.943049,0.12534,570812.811941,0.0,115502,0.499964,0.0,67.998,1.0,1.0,4.181,True,/tmp/edge-weight-scale-study/runs/grid_1pct/grid_e1m6_l1e5/model_checkpoint.json,Full,false,RelativeRegret,ProjectedSubgradient,20,20,,/tmp/edge-weight-scale-study/runs/grid_1pct/grid_e1m6_l1e5/model_training.log,5,0,,7857,1710,7857,20000,4188,0.60024,0.586198,20000,15812
grid_e1m6_l1e7,grid_1pct,1pct,42,1e-6,1e7,full,scale_1pct_seed42,ok,False,6.468648172999565,6147,15812,19,0.091551493505,0.09155149,627053.771566,0.322224,0.589366,0.515953,0.08426847,259.46475,67.62225,12.32525,25.068675,12.973947368421053,26.38807894736842,0.007283020000000001,56230.40341899998,62996,0.9990583423723071,1.0,1.0008088767682766,,0,0,1.041018,0.943081,12.522015,570823.368147,0.0,115509,0.499991,0.0,66.07,1.0,1.0,4.18,True,/tmp/edge-weight-scale-study/runs/grid_1pct/grid_e1m6_l1e7/model_checkpoint.json,Full,false,RelativeRegret,ProjectedSubgradient,20,20,,/tmp/edge-weight-scale-study/runs/grid_1pct/grid_e1m6_l1e7/model_training.log,5,0,,7857,1710,7857,20000,4188,0.600039,0.586017,20000,15812
